pi_Time1	pi_Time2	pi_Time3	pi_Present	pi_Anadyr	pi_Cook	pi_Bristol
0.3455986	0.2999578	0.3106144	0.3423487	0.3090321	0.3261854	0.3278624
0.3516347	0.3541284	0.3622977	0.3870419	0.3599161	0.3464263	0.3252408
0.2827845	0.3486075	0.3119738	0.3513402	0.3424907	0.303626	0.3561093
0.2804723	0.3325377	0.306992	0.3017728	0.2978412	0.2870143	0.2944171
0.3552482	0.3952959	0.3480053	0.3561367	0.3812563	0.3556519	0.3472462
0.3237089	0.3248708	0.3120198	0.320287	0.330189	0.32674	0.3133278
0.2964047	0.3553967	0.3425743	0.3606012	0.3546274	0.3923799	0.3286379
0.3462831	0.3374534	0.3192017	0.3418709	0.3377427	0.3547822	0.3206725
0.313877	0.3235653	0.3164517	0.3498501	0.3176747	0.3050612	0.3497252
0.2627417	0.3154385	0.3438327	0.3347045	0.3274774	0.3026709	0.338855
0.3594289	0.3319098	0.3492292	0.3605871	0.3544197	0.3189754	0.3350545
0.3359165	0.3227942	0.3320896	0.3348677	0.3141897	0.325079	0.314334
0.3335729	0.3563853	0.3594035	0.3690049	0.318911	0.303783	0.348652
0.3319576	0.3202525	0.3373786	0.3253575	0.3295227	0.330919	0.3351412
0.291631	0.2937533	0.3198404	0.3341252	0.3187252	0.2476552	0.3505174
0.3733305	0.3462281	0.36838	0.3396174	0.3300175	0.2872798	0.3165307
0.2773598	0.3473197	0.3131177	0.3264892	0.2923709	0.3183752	0.2809313
0.3581702	0.3298094	0.3300637	0.3309021	0.315119	0.2799422	0.3358081
0.3370011	0.3530273	0.319888	0.3114879	0.3271338	0.3180646	0.3257046
0.3788328	0.3370851	0.3487484	0.3353253	0.3270375	0.3103135	0.3625829
0.3166942	0.3628065	0.369235	0.3166105	0.3080681	0.3387881	0.3313372
0.3283775	0.3429563	0.3209879	0.3470466	0.3274087	0.3115049	0.3327305
0.3282332	0.346358	0.3437577	0.3335988	0.3213509	0.3191005	0.3425951
0.3184865	0.3457751	0.3367973	0.3166076	0.2952193	0.32451	0.3260474
0.3373281	0.3435847	0.3333541	0.3319262	0.3364614	0.2827873	0.3487923
0.2735424	0.3228839	0.33129	0.3234457	0.3236449	0.2869218	0.3184499
0.2921729	0.3710245	0.323765	0.3271118	0.3433232	0.2737159	0.3541596
0.3128752	0.3422525	0.3495897	0.32686	0.3425898	0.3164489	0.331022
0.2876944	0.3456171	0.3180868	0.3151758	0.3118217	0.3253222	0.322102
0.3200323	0.3194079	0.3333308	0.3260797	0.3268571	0.3539571	0.3176321
0.3150872	0.3711516	0.3305571	0.3269679	0.351284	0.2830147	0.3381144
0.3660677	0.3382694	0.3072579	0.299285	0.3134138	0.2985274	0.2931159
0.3660551	0.3195235	0.3199388	0.332371	0.3531902	0.3295384	0.3413024
0.3324735	0.3396177	0.3402621	0.3466896	0.3188788	0.3254693	0.3091124
0.3601574	0.3569836	0.3168554	0.2988219	0.3171166	0.327496	0.3288808
0.3962192	0.3259217	0.3422019	0.3376168	0.3396685	0.2981599	0.3498289
0.3787391	0.3391974	0.3400965	0.3283483	0.3121866	0.2809605	0.3031438
0.3198238	0.3453794	0.3316405	0.3011045	0.3405071	0.3224434	0.3163313
0.3188818	0.3472206	0.3399436	0.330174	0.3188559	0.349998	0.3473486
